entry_time,exit_time,seg,tf,dir,level,entry,sl,tp,exit,reason,pnl,pnl_net,mtr,sld,wait_h,trend_h4
2026-02-02 05:44:18.556018485,2026-02-02 09:26:18.471956237,GCJ6,M15,-1,4604.3,4601.6,4695.95,4421.0,4696.8,sl,-95.2,-95.35,61.1,91.65,2.4885,-1.0
2026-02-03 06:20:02.479583946,2026-02-03 16:16:21.536699751,GCJ6,M15,1,4882.0,4883.9,4833.0,4981.5,4981.5,tp,97.6,97.45,33.0,49.5,2.584,-1.0
2026-02-03 13:46:20.390753663,2026-02-03 14:00:34.465033983,GCJ6,M15,1,4975.5,4976.3,4946.0,5036.9,4945.3,sl,-31.0,-31.15,20.2,30.3,3.0223,-1.0
2026-02-03 18:32:31.909185794,2026-02-03 19:38:00.350346523,GCJ6,M15,-1,4917.6,4917.6,4960.575,4831.65,4961.3,sl,-43.7,-43.85,28.65,42.975,1.7922,-1.0
2026-02-03 19:06:22.919986852,2026-02-03 19:15:06.136183827,GCJ6,M15,-1,4905.2,4905.1,4941.575,4832.45,4941.6,sl,-36.5,-36.65,24.25,36.375,5.6064,-1.0
2026-02-04 00:17:48.931694067,2026-02-04 15:31:12.899768036,GCJ6,M15,1,5018.1,5019.0,4963.3,5128.9,4963.0,sl,-56.0,-56.15,36.8,55.2,5.5469,-1.0
2026-02-04 09:32:39.070798127,2026-02-04 14:37:43.814292869,GCJ6,M15,-1,5071.0,5071.0,5097.625,5017.75,5017.75,tp,53.25,53.1,17.75,26.625,1.0442,1.0
2026-02-04 14:32:48.192989677,2026-02-04 15:22:49.850744125,GCJ6,M15,-1,5036.0,5035.5,5065.4,4977.2,4977.2,tp,58.3,58.15,19.6,29.4,1.0467,1.0
2026-02-05 02:47:48.150451039,2026-02-05 02:52:41.064520173,GCJ6,H1,-1,4867.7,4867.7,4889.225,4824.65,4824.65,tp,43.05,42.9,43.05,21.525,0.7967,1.0
2026-02-05 02:47:48.150451039,2026-02-05 05:45:43.380191788,GCJ6,M15,-1,4867.7,4867.7,4920.2,4762.7,4920.3,sl,-52.6,-52.75,35.0,52.5,7.7967,1.0
2026-02-05 12:19:40.717666245,2026-02-05 12:35:12.871819520,GCJ6,M15,-1,4842.0,4842.0,4887.825,4750.35,4888.0,sl,-46.0,-46.15,30.55,45.825,4.578,1.0
2026-02-05 15:47:57.223409409,2026-02-05 16:38:34.628959126,GCJ6,M15,-1,4822.0,4822.0,4882.75,4700.5,4883.2,sl,-61.2,-61.35,40.5,60.75,0.5492,-1.0
2026-02-05 20:55:01.534495194,2026-02-05 23:49:09.581759071,GCJ6,M15,-1,4820.8,4820.7,4861.6,4739.2,4739.2,tp,81.5,81.35,27.2,40.8,2.9171,-1.0
2026-02-06 05:25:26.242962412,2026-02-06 13:01:36.243012039,GCJ6,M15,1,4863.5,4865.0,4827.05,4939.1,4939.1,tp,74.1,73.95,24.9,37.35,0.674,-1.0
2026-02-06 11:01:47.521544127,2026-02-06 14:37:37.662018068,GCJ6,M15,1,4904.5,4905.6,4873.775,4968.95,4968.95,tp,63.35,63.2,21.15,31.725,0.2799,-1.0
2026-02-06 12:07:10.135585114,2026-02-06 15:06:35.030325025,GCJ6,M15,1,4921.6,4922.4,4889.475,4987.35,4987.35,tp,64.95,64.8,21.75,32.625,3.8695,-1.0
