ts_open,ts_close,dir,qty,entry,exit,sl,tp,reason,pnl_pts,pnl_usd,tag
1708956788732192297,1708956881899730894,-1,1,2039.6,2037.4,2040.6999999999998,2037.4,tp,2.05,205.0,L-Rev|H1|low@2039.60
1708956788732192297,1708957881072873786,-1,1,2039.6,2035.2499999999998,2041.775,2035.2499999999998,tp,4.2,420.0,L-Rev|M15|low@2039.60
1709042857658524904,1709043805968014835,-1,1,2043.9,2045.9,2045.85,2040.0000000000002,sl,-2.15,-215.0,L-Rev|M15|low@2043.90
1709054043841864523,1709056259409919211,-1,1,2040.3,2041.6,2041.5749999999998,2037.7500000000002,sl,-1.45,-145.0,L-Rev|M15|low@2040.30
1709103100237072676,1709111356606944060,-1,1,2037.9,2034.1500000000005,2039.7749999999999,2034.1500000000005,tp,3.6,360.0,L-Rev|M15|low@2037.90
1709128987560109165,1709129965692932745,1,1,2045.7,2043.5,2043.5249999999996,2050.05,sl,-2.35,-235.0,L-Rev|M15|high@2045.60
1709190355489867836,1709194112794554717,1,1,2045.6,2044.1,2044.175,2048.45,sl,-1.65,-165.0,L-Rev|M15|high@2045.50
1709200066172852575,1709203161509855428,-1,1,2042.6,2040.0500000000002,2043.8749999999998,2040.0500000000002,tp,2.4,240.0,L-Rev|M15|low@2042.60
1709201716983304103,1709204583978039619,-1,1,2042.1,2038.4999999999998,2043.9,2038.4999999999998,tp,3.45,345.0,L-Rev|M15|low@2042.10
1709203035458319541,1709207192609608616,-1,1,2040.1,2037.2499999999998,2041.525,2037.2499999999998,tp,2.7,270.0,L-Rev|M15|low@2040.10
1709203230069570700,1709213405354805884,-1,1,2039.5,2044.0,2042.1499999999999,2034.5,sl,-4.65,-465.0,L-Rev|M15|low@2039.60
1709213491004249961,1709213668929571798,1,1,2047.7,2046.0,2046.05,2050.4,sl,-1.85,-185.0,L-Rev|H1|high@2047.40
1709213491004249961,1709214302041780596,1,1,2047.7,2053.95,2044.275,2053.95,tp,6.1,610.0,L-Rev|M15|high@2047.40
1709213776357078642,1709214302041780596,1,1,2049.2,2054.2,2046.6999999999998,2054.2,tp,4.85,485.0,L-Rev|H4|high@2049.10
1709274048127719044,1709279669089133106,1,1,2055.6,2054.0,2054.025,2058.75,sl,-1.75,-175.0,L-Rev|M15|high@2055.50
1709280800714878944,1709282281071573193,-1,1,2051.7,2048.5499999999993,2053.275,2048.5499999999993,tp,3.0,300.0,L-Rev|M15|low@2051.70
